name,CD,hausdorff,p2f avg,p2f std,uniform_0,uniform_1
elk.xyz,0.00090724847,0.007982045,0.0048049837,0.003757427,0.025800617411733,0.028280701488257
m88.xyz,0.0004113852,0.0040950137,0.0029019665,0.0024302937,0.041273001581431,0.037776920944452
star.xyz,0.0006897149,0.009170771,0.008018915,0.0044748853,0.028389209881425,0.02933812327683
Gramme_aligned.xyz,0.0010234399,0.008874059,0.0063902317,0.0047782357,-,-
m329.xyz,0.0005401509,0.0060343957,0.0045538303,0.0034428043,0.027016190811992,0.0322210714221
duck.xyz,0.0008691924,0.0096731875,0.006046052,0.0042324327,0.021995328366757,0.024345858022571
kitten.xyz,0.00041742634,0.0070298775,0.0048415847,0.0034454146,0.028836183249951,0.031011883169413
statue_dragon_aligned.xyz,0.0004629124,0.0055148415,0.00604018,0.0046391645,-,-
m60.xyz,0.00023513185,0.002952912,0.0024976574,0.0019976168,0.018302146345377,0.01971067301929
genus3.xyz,0.0006798125,0.009416077,0.006798517,0.004477021,0.028395710512996,0.031698755919933
chair.xyz,0.00034887437,0.003490257,0.0048861206,0.003916933,0.035497538745403,0.055073190480471
casting.xyz,0.0007764887,0.0069719222,0.0063679605,0.0047636083,0.044268641620875,0.048917323350906
m32.xyz,0.00030095666,0.0076154317,0.0028765942,0.002370524,0.031002953648567,0.037625677883625
pig.xyz,0.0005452117,0.008375265,0.0046733767,0.0040026437,0.03101447224617,0.036594834178686
statue_rome_aligned.xyz,0.00032481068,0.00384634,0.0040650684,0.00339968,-,-
fandisk.xyz,0.00038169228,0.005384856,0.004655353,0.00345972,0.020537903532386,0.019518855959177
cow.xyz,0.00040088638,0.004612817,0.004098396,0.0032533873,0.021788543090224,0.025834238156676
horse.xyz,0.00046941178,0.005036361,0.003968556,0.003391759,0.025441985577345,0.029577458277345
m333.xyz,0.00047170735,0.0075189257,0.004701851,0.0034591646,0.032486997544766,0.034527748823166
Panda.xyz,0.00065252575,0.012066674,0.0072561516,0.0048975255,0.029889106750488,0.032747976481915
coverrear_Lp.xyz,0.0006002055,0.009052995,0.0048974026,0.0045000804,0.03546304628253,0.040716834366322
eight.xyz,0.0006065923,0.006684449,0.0043306425,0.0036056763,0.021979104727507,0.022403782233596
camel.xyz,0.00029713608,0.003698172,0.0038690362,0.0032728682,0.024310123175383,0.026230581104755
Tiger.xyz,0.00019284019,0.0022261534,0.0031398889,0.0026137468,0.01647761464119,0.020054729655385
elephant.xyz,0.00045519962,0.005745309,0.0045980457,0.0036318623,0.036142528057098,0.043659422546625
m355.xyz,0.0006070697,0.010395282,0.00628681,0.004361411,0.028091797605157,0.029530910775066
statue_ramesses_aligned.xyz,0.0003042982,0.003443861,0.0044737956,0.0034956555,-,-
-,0.000517493414076,0.006552157432048,0.004890332,0.0040159053,0.028452206322033,0.032060763110285
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,  ,,,,
